Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Category,Total_Lines_Num,Repaired,Attempt,Repair_Line,Repair_Fix,Repair_Original,Repair_Same
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_12,"['76', ' 44\n44']","[76, 44, 44]",void,44.0,False,33.33333333333333,Others,3,False,,,,a := a + 2*b;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_12,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,80.0,True,87.5,Others,8,False,,,,size := size - 1;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_24,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3,False,,,,a := a + b;,False
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_3,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,13.0,True,81.81818181818183,Others,22,False,,,,var constant:real := (size as real) * tau;,False
dafny-synthesis_task_id_581_no_hints_1,['6'],[6],int,6.0,True,100.0,100%,1,False,,,,area := baseEdge * baseEdge + 2 * baseEdge * height;,False
Clover_swap_arith_no_hints_8,"['9', ' 10']","[6, 8, 9, 10]",int_int,10.0,True,50.0,Others,4,False,,,,x := y + x;,False
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints_7,['9'],"[4, 5, 6, 7, 9, 11, 12, 13, 14]",int_int_int_int,14.0,False,11.11111111111111,Others,9,False,,,,y := t1 + t2;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_15,"['23', ' 24']","[23, 24]",int_int,24.0,True,100.0,100%,2,False,,,,b := 2 * a;,False
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_7,['13'],"[10, 11, 12, 13]",int_int,12.0,False,25.0,Others,4,False,,,,s := s - 3;,False
dafny-synthesis_task_id_268_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,star := 6 * n * (n - 1) + 1;,False
Clover_triple2_no_hints_8,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,7.0,True,42.85714285714285,Others,7,False,,,,r:=(a+b)/2;,False
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_3,"['30', ' 31']","[26, 27, 29, 30, 31]",nat,31.0,True,40.0,Others,5,False,,,,return 1+aux;,False
dafny-synthesis_task_id_606_no_hints_3,['4'],[4],real,4.0,True,100.0,100%,1,False,,,,radians := degrees * 3.14159265358979323846 / 180.0;,False
dafny-synthesis_task_id_82_no_hints_3,['5'],[5],real,5.0,True,100.0,100%,1,False,,,,volume := 4.0/3.0 * 3.1415926535 * radius * radius * radius;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_41,"['31', ' 32']","[31, 32]",int,32.0,True,100.0,100%,2,False,,,,r := 6 * y;,False
Clover_double_quadruple_no_hints_7,"['4', ' 5']","[4, 5]",int_int,5.0,True,100.0,100%,2,False,,,,b := 2 * a;,False
Clover_swap_arith_no_hints_0,"['9', ' 10']","[6, 8, 9, 10]",int_int,8.0,False,50.0,Others,4,False,,,,x := y - x;,False
se2011_tmp_tmp71eb82zt_ass2_ex2_no_hints_0,"['14', ' 18', ' 21', ' 22', ' 24', ' 33', ' 34']","[14, 15, 17, 18, 21, 22, 22, 24, 24, 24, 26, 28, 29, 29, 30, 31, 32, 33, 34, 36]",int,34.0,True,35.0,Others,20,False,,,,i := i+1;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,i := n/2;,False
Clover_triple2_no_hints_1,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,6.0,True,42.85714285714285,Others,7,False,,,,"var a,b := 2*x, 4*x;",False
Clover_update_array_no_hints_1,"['8', ' 9']","[8, 9]",void,8.0,True,100.0,100%,2,False,,,,a[4] := a[4] + 3;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_20,"['64', ' 29\n29']","[64, 29, 29]",void,29.0,False,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
dafny-synthesis_task_id_432_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,median := (a + b) / 2;,False
Clover_swap_arith_no_hints_11,"['9', ' 10']","[6, 8, 9, 10]",int_int,10.0,True,50.0,Others,4,False,,,,x := y + x;,False
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_23,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,31.0,True,81.81818181818183,Others,22,False,,,,thetha[t+1] := thetha[t] - learning_rate*summation_gradient;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_7,"['64', ' 65', ' 67', ' 18']","[64, 65, 15, 67, 18]",void,67.0,True,80.0,Others,5,False,,,,"ghost var repr := Repr + {this} + {c,d};",False
dafny-synthesis_task_id_86_no_hints_3,['5'],[5],nat,5.0,True,100.0,100%,1,False,,,,result := 3 * n * (n - 1) + 1;,False
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_4,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,30.0,True,64.28571428571429,Others,14,False,,,,return temp * temp * x;,False
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_4,"['20', ' 21', ' 24', ' 26']","[16, 17, 19, 20, 21, 22, 23, 24, 26, 28]",void,28.0,False,40.0,Others,10,False,,,,i := i+1;,False
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_12,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,103.0,True,77.77777777777779,Others,9,False,,,,i:=i+1;,False
dafny-synthesis_task_id_276_no_hints_3,['6'],[6],real,6.0,True,100.0,100%,1,False,,,,volume := 3.14159265359 * radius * radius * height;,False
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_12,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,28.0,True,81.81818181818183,Others,22,True,0,19,,i := i + 1;,False
dafny-mini-project_tmp_tmpjxr3wzqh_src_project2a_no_hints_11,['125'],[125],void,125.0,True,100.0,100%,1,False,,,,messages := messages - { m };,False
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week9_lemma_no_hints_3,['6'],"[5, 6]",int,6.0,True,50.0,Others,2,False,,,,r:= students/tutors;,False
ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_c++_sets_no_hints_0,"['48', ' 49', ' 50', ' 51', ' 52', ' 53', ' 54', ' 56', ' 57']","[48, 49, 50, 51, 52, 53, 54, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68]",void,57.0,True,50.0,Others,18,False,,,,var s2:set<seq<uint32>> := s1 - { m1 };,False
Clover_triple2_no_hints_16,"['8', ' 9', ' 10']","[4, 5, 6, 7, 8, 9, 10]",int,10.0,True,42.85714285714285,Others,7,True,0,10,"var a,b := 2*x, 4*x;
r:=(a+b)/2;",r:= x+y;,False
Clover_double_quadruple_no_hints_4,"['4', ' 5']","[4, 5]",int_int,5.0,True,100.0,100%,2,False,,,,b := 2 * a;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_3,['9'],[9],int,9.0,True,100.0,100%,1,False,,,,r := 3 * x;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_4,"['29\n64', ' 29']","[64, 29, 29]",void,29.0,True,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_0,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,25.0,True,64.28571428571429,Others,14,False,,,,return temp * temp;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_4,"['32', ' 33', ' 34', ' 36']","[32, 33, 34, 35, 36]",int_int,32.0,True,80.0,Others,5,False,,,,s := x + y;,False
dafny-synthesis_task_id_86_no_hints_1,['5'],[5],nat,5.0,True,100.0,100%,1,False,,,,result := 3 * n * (n - 1) + 1;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_23,"['29\n64', ' 29']","[29, 64, 29]",void,29.0,True,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_37,"['31', ' 32']","[31, 32]",int,31.0,True,100.0,100%,2,False,,,,var y := x / 2;,False
dafny-synthesis_task_id_127_no_hints_2,['4'],[4],int,4.0,True,100.0,100%,1,False,,,,result := a * b;,False
dafny-synthesis_task_id_622_no_hints_3,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4,False,,,,median := (a[a.Length / 2 - 1] + b[0]) / 2;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_31,"['21', ' 22', ' 23']","[17, 18, 19, 20, 21, 22, 23]",int,22.0,True,42.85714285714285,Others,7,False,,,,var y:= 2 * x;,False
dafny-synthesis_task_id_458_no_hints_2,['6'],[6],int,6.0,True,100.0,100%,1,False,,,,area := length * width;,False
Dafny_tmp_tmpmvs2dmry_examples1_no_hints_0,"['28', ' 29']","[28, 29]",int_int,28.0,True,100.0,100%,2,False,,,,more := x + y;,False
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_11,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,80.0,True,77.77777777777779,Others,9,False,,,,var n := |str1|-k;,False
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_12,['68'],"[65, 66, 67, 68]",int,68.0,True,25.0,Others,4,False,,,,availableSpaces := (normalSpaces - |carPark|) - badParkingBuffer;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_11,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3,False,,,,a := a + b;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_7,['16'],[16],int,16.0,True,100.0,100%,1,False,,,,r:= 3 * x;,False
dafny-synthesis_task_id_432_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,median := (a + b) / 2;,False
dafny-synthesis_task_id_430_no_hints_0,['5'],[5],real,5.0,True,100.0,100%,1,False,,,,directrix := k - 1.0 / (4.0 * a);,False
cs357_tmp_tmpn4fsvwzs_lab7_question2_no_hints_3,"['4', ' 5', ' 6', ' 8']","[4, 5, 6, 7, 8]",int,4.0,True,80.0,Others,5,False,,,,var a:= x+1;,False
nitwit_tmp_tmplm098gxz_nit_no_hints_14,['165'],"[157, 165]",nat,165.0,True,50.0,Others,2,False,,,,nf := mn - n;,False
703FinalProject_tmp_tmpr_10rn4z_gaussian_no_hints_5,"['9', ' 10', ' 11', ' 12', ' 13', ' 14', ' 17', ' 18', ' 19', ' 20']","[9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]",array(real),20.0,True,90.9090909090909,Others,11,True,2,14,,i := i+1;,False
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_13,"['35', ' 36', ' 38', ' 39']","[35, 36, 37, 38, 39, 39]",void,39.0,True,66.66666666666666,Others,6,False,,,,"while(k < 5) { print a[k], ""\n""; k := k+1;}",False
dafny-synthesis_task_id_581_no_hints_0,['6'],[6],int,6.0,True,100.0,100%,1,False,,,,area := baseEdge * baseEdge + 2 * baseEdge * height;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_3,"['38', ' 39', ' 40', ' 41', ' 42', ' 43']","[38, 39, 40, 41, 42, 43]",void,42.0,True,100.0,100%,6,False,,,,footprint := {this} + n.footprint;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_3,"['20', ' 21', ' 23']","[20, 21, 23]",void,23.0,True,100.0,100%,3,False,,,,a := a + b;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_13,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,80.0,True,87.5,Others,8,False,,,,size := size - 1;,False
dafny-synthesis_task_id_268_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,star := 6 * n * (n - 1) + 1;,False
dafny-synthesis_task_id_441_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,area := 6 * size * size;,False
Clover_triple2_no_hints_11,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,7.0,True,42.85714285714285,Others,7,False,,,,r:=(a+b)/2;,False
Clover_triple4_no_hints_4,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2,False,,,,r := y+x;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_7,"['64', ' 29\n29']","[64, 29, 29]",void,29.0,False,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
dafny-synthesis_task_id_266_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,area := 4 * size * size;,False
Clover_avg_no_hints_1,['4'],[4],int,4.0,True,100.0,100%,1,False,,,,avg:= (a + b) / 2;,False
dafny-synthesis_task_id_641_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,number := n * (7 * n - 5) / 2;,False
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_5,"['53', ' 54']","[53, 54]",int,54.0,True,100.0,100%,2,False,,,,z := x-1;,False
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_15,"['64', ' 65']","[64, 65]",void,64.0,True,100.0,100%,2,False,,,,V := V - C + {v};,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_3,['28'],[28],void,28.0,True,100.0,100%,1,False,,,,N := N + 1;,False
dafny-synthesis_task_id_622_no_hints_0,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4,False,,,,median := (a[a.Length / 2 - 1] + b[0]) / 2;,False
Clover_triple2_no_hints_12,"['8', ' 9', ' 10']","[4, 5, 6, 7, 8, 9, 10]",int,9.0,True,42.85714285714285,Others,7,False,,,,var y:=2*x;,False
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_8,"['30', ' 31', ' 28', ' 34', ' 57']","[28, 30, 31, 34, 36, 38, 40, 43, 45, 46, 48, 49, 51, 53, 54, 57]",int,57.0,True,31.25,Others,16,False,,,,p:= p +1;,False
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_13,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,103.0,True,77.77777777777779,Others,9,True,0,90,//This method should return the natural number len which is equal to the length of the longest common substring of str1 and str2.,i:=i+1;,False
dafny-synthesis_task_id_80_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,t := n * (n + 1) * (n + 2) / 6;,False
dafny-synthesis_task_id_452_no_hints_0,"['5', ' 6']","[5, 6, 7, 8]",int,6.0,True,50.0,Others,4,False,,,,loss := costPrice - sellingPrice;,False
dafny-synthesis_task_id_59_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,octagonalNumber := n * (3 * n - 2);,False
dafny-workout_tmp_tmp0abkw6f8_starter_ex03_no_hints_0,['7'],[7],int,7.0,True,100.0,100%,1,False,,,,return x + 2;,False
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_3,['26'],[26],void,26.0,True,100.0,100%,1,False,,,,V := V + {v};,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_7,"['32', ' 33', ' 34', ' 36']","[32, 33, 34, 35, 36]",int_int,32.0,True,80.0,Others,5,False,,,,s := x + y;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_8,['28'],[28],void,28.0,True,100.0,100%,1,False,,,,N := N + 1;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_20,"['156', ' 157', ' 158', ' 159', ' 164', ' 165', ' 166', ' 149']","[156, 157, 158, 159, 164, 165, 166, 149]",CircularArray,164.0,True,100.0,100%,8,False,,,,q2.size := size + q1.size;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_5,['16'],[16],int,16.0,True,100.0,100%,1,False,,,,r:= 3 * x;,False
dafny-synthesis_task_id_89_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,m := n - 1;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_1,['9'],[9],int,9.0,True,100.0,100%,1,False,,,,r := 3 * x;,False
t1_MF_tmp_tmpi_sqie4j_exemplos_classes_parte1_contadorV1b_no_hints_4,['30'],[30],void,30.0,True,100.0,100%,1,False,,,,valor := valor -1 ;,False
dafny-synthesis_task_id_266_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,area := 4 * size * size;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_SharedDestructorsCompile_no_hints_0,"['22', ' 25', ' 26', ' 27', ' 30', ' 31']","[15, 16, 18, 20, 22, 25, 26, 27, 30, 31, 34, 35]",void,31.0,True,50.0,Others,12,False,,,,i := i + 1;,False
se2011_tmp_tmp71eb82zt_ass1_ex6_no_hints_0,['5'],[5],nat,5.0,True,100.0,100%,1,False,,,,k := n-(n%7);,False
Clover_double_quadruple_no_hints_3,"['4', ' 5']","[4, 5]",int_int,4.0,True,100.0,100%,2,False,,,,a := 2 * x;,False
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_5,"['30', ' 31', ' 28', ' 34', ' 57']","[28, 30, 31, 34, 36, 38, 40, 43, 45, 46, 48, 49, 51, 53, 54, 57]",int,51.0,False,31.25,Others,16,False,,,,i:= i + 1;,False
dafny-synthesis_task_id_264_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,False,,,,dogYears := 7 * humanYears;,False
t1_MF_tmp_tmpi_sqie4j_exemplos_classes_parte1_contadorV1b_no_hints_3,['23'],[23],void,23.0,True,100.0,100%,1,False,,,,valor := valor + 1;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_15,"['76', ' 44\n44']","[44, 76, 44]",void,44.0,False,33.33333333333333,Others,3,False,,,,a := a + 2*b;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_9,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,75.0,True,87.5,Others,8,False,,,,start := start + 1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_add_by_one_details_no_hints_3,['4'],[4],int,4.0,True,100.0,100%,1,False,,,,{return x+1;},False
dafny-synthesis_task_id_622_no_hints_1,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4,False,,,,median := (a[a.Length / 2 - 1] + b[0]) / 2;,False
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_8,"['50', ' 51']","[50, 51]",void,50.0,True,100.0,100%,2,False,,,,V := V - {v};,False
