Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Category,Total_Lines_Num,Repaired,Attempt,Repair_Line,Repair_Fix,Repair_Original,Repair_Same
dafny-synthesis_task_id_139_no_hints_0,['5'],[5],real,5.0,True,100.0,100%,1,True,0,5,circumference := 2.0 * 3.14159265358979323846 * radius;,circumference := 2.0 * 3.14159265358979323846 * radius;,True
dafny-synthesis_task_id_577_no_hints_1,"['13', ' 14']","[13, 14]",int,13.0,True,100.0,100%,2,True,0,13,var lastDigit := n % 10; //buggy line,var lastDigit := n % 10;,True
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_0,['32'],"[20, 29, 30, 32, 139, 141, 143, 153]",void,32.0,True,12.5,Others,8,False,,,,"var k := (exp(3,4*(n-1))+9) / 10;",False
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_7,"['21', ' 22', ' 23', ' 25', ' 26', ' 28']","[21, 22, 23, 25, 26, 28]",int,25.0,True,100.0,100%,6,True,0,25,i := i + 1; //buggy line,i := i + 1;,True
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_8,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3,False,,,,a := a + b;,False
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_4,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2,True,0,5,r := 3 * x;,r := y + x;,False
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_6,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,30.0,True,64.28571428571429,Others,14,False,,,,return temp * temp * x;,False
Clover_avg_no_hints_3,['4'],[4],int,4.0,True,100.0,100%,1,True,0,4,avg := (a + b) / 2;,avg:= (a + b) / 2;,True
check,[],[],,,False,0.0,Others,0,False,,,,,False
nitwit_tmp_tmplm098gxz_nit_no_hints_20,"['181', ' 182']","[181, 182]",nat_nat,182.0,True,100.0,100%,2,True,0,182,carry := (x + y) / b;,carry := (x + y) / b;,True
dafny-synthesis_task_id_14_no_hints_0,['7'],[7],int,7.0,True,100.0,100%,1,True,0,7,volume := (base * height * length) / 2;,volume := (base * height * length) / 2;,True
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_0,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,13.0,True,81.81818181818183,Others,22,False,,,,var constant:real := (size as real) * tau;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,i := n - 1;,i := n/2;,False
Clover_multi_return_no_hints_2,"['5', ' 6']","[5, 6]",int_int,5.0,True,100.0,100%,2,True,0,5,more := x + y;,more := x + y;,True
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_13,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,28.0,True,81.81818181818183,Others,22,True,0,19,while (i < size) { i := i + 1; },i := i + 1;,True
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_6,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2,True,0,5,r := 3 * x;,r := y + x;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_11,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,75.0,True,87.5,Others,8,False,,,,start := start + 1;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_12,"['76', ' 44\n44']","[76, 44, 44]",void,44.0,False,33.33333333333333,Others,3,False,,,,a := a + 2*b;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_12,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,80.0,True,87.5,Others,8,False,,,,size := size - 1;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_24,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3,False,,,,a := a + b;,False
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_3,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,13.0,True,81.81818181818183,Others,22,False,,,,var constant:real := (size as real) * tau;,False
dafny-synthesis_task_id_581_no_hints_1,['6'],[6],int,6.0,True,100.0,100%,1,True,0,6,area := baseEdge * baseEdge + 2 * baseEdge * height; //buggy line,area := baseEdge * baseEdge + 2 * baseEdge * height;,True
Clover_swap_arith_no_hints_8,"['9', ' 10']","[6, 8, 9, 10]",int_int,10.0,True,50.0,Others,4,False,,,,x := y + x;,False
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints_7,['9'],"[4, 5, 6, 7, 9, 11, 12, 13, 14]",int_int_int_int,14.0,False,11.11111111111111,Others,9,False,,,,y := t1 + t2;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_15,"['23', ' 24']","[23, 24]",int_int,24.0,True,100.0,100%,2,True,0,24,b := 4 * x;,b := 2 * a;,False
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_7,['13'],"[10, 11, 12, 13]",int_int,12.0,False,25.0,Others,4,False,,,,s := s - 3;,False
dafny-synthesis_task_id_268_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,star := 6 * n * (n - 1) + 1; //buggy line,star := 6 * n * (n - 1) + 1;,True
Clover_triple2_no_hints_8,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,7.0,True,42.85714285714285,Others,7,True,2,7,r := (a + b) / 2;,r:=(a+b)/2;,True
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_3,"['30', ' 31']","[26, 27, 29, 30, 31]",nat,31.0,True,40.0,Others,5,False,,,,return 1+aux;,False
dafny-synthesis_task_id_606_no_hints_3,['4'],[4],real,4.0,True,100.0,100%,1,True,0,4,radians := degrees * 3.14159265358979323846 / 180.0; //buggy line,radians := degrees * 3.14159265358979323846 / 180.0;,True
dafny-synthesis_task_id_82_no_hints_3,['5'],[5],real,5.0,True,100.0,100%,1,True,0,5,volume := 4.0 / 3.0 * 3.1415926535 * radius * radius * radius; //buggy line,volume := 4.0/3.0 * 3.1415926535 * radius * radius * radius;,True
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_41,"['31', ' 32']","[31, 32]",int,32.0,True,100.0,100%,2,False,,,,r := 6 * y;,False
Clover_double_quadruple_no_hints_7,"['4', ' 5']","[4, 5]",int_int,5.0,True,100.0,100%,2,True,0,5,b := 4 * x;,b := 2 * a;,False
Clover_swap_arith_no_hints_0,"['9', ' 10']","[6, 8, 9, 10]",int_int,8.0,False,50.0,Others,4,False,,,,x := y - x;,False
se2011_tmp_tmp71eb82zt_ass2_ex2_no_hints_0,"['14', ' 18', ' 21', ' 22', ' 24', ' 33', ' 34']","[14, 15, 17, 18, 21, 22, 22, 24, 24, 24, 26, 28, 29, 29, 30, 31, 32, 33, 34, 36]",int,34.0,True,35.0,Others,20,True,0,34,i := i + 1;,i := i+1;,True
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,i := n - 1;,i := n/2;,False
Clover_triple2_no_hints_1,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,6.0,True,42.85714285714285,Others,7,False,,,,"var a,b := 2*x, 4*x;",False
Clover_update_array_no_hints_1,"['8', ' 9']","[8, 9]",void,8.0,True,100.0,100%,2,False,,,,a[4] := a[4] + 3;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_20,"['64', ' 29\n29']","[64, 29, 29]",void,29.0,False,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
dafny-synthesis_task_id_432_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,median := (a + b) / 2;,median := (a + b) / 2;,True
Clover_swap_arith_no_hints_11,"['9', ' 10']","[6, 8, 9, 10]",int_int,10.0,True,50.0,Others,4,True,1,10,x := y + x;,x := y + x;,True
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_23,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,31.0,True,81.81818181818183,Others,22,True,0,31,thetha[t + 1] := thetha[t] + summation_gradient;,thetha[t+1] := thetha[t] - learning_rate*summation_gradient;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_7,"['64', ' 65', ' 67', ' 18']","[64, 65, 15, 67, 18]",void,67.0,True,80.0,Others,5,False,,,,"ghost var repr := Repr + {this} + {c,d};",False
dafny-synthesis_task_id_86_no_hints_3,['5'],[5],nat,5.0,True,100.0,100%,1,True,0,5,result := 3 * n * (n - 1) + 1;,result := 3 * n * (n - 1) + 1;,True
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_4,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,30.0,True,64.28571428571429,Others,14,True,0,30,return temp * temp * x; //buggy line,return temp * temp * x;,True
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_4,"['20', ' 21', ' 24', ' 26']","[16, 17, 19, 20, 21, 22, 23, 24, 26, 28]",void,28.0,False,40.0,Others,10,False,,,,i := i+1;,False
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_12,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,103.0,True,77.77777777777779,Others,9,True,0,103,i := i + 1; //buggy line,i:=i+1;,True
dafny-synthesis_task_id_276_no_hints_3,['6'],[6],real,6.0,True,100.0,100%,1,True,0,6,volume := 3.14159265359 * radius * radius * height;,volume := 3.14159265359 * radius * radius * height;,True
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_12,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,28.0,True,81.81818181818183,Others,22,True,1,16,var i :int := size;,i := i + 1;,False
dafny-mini-project_tmp_tmpjxr3wzqh_src_project2a_no_hints_11,['125'],[125],void,125.0,True,100.0,100%,1,False,,,,messages := messages - { m };,False
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week9_lemma_no_hints_3,['6'],"[5, 6]",int,6.0,True,50.0,Others,2,True,0,6,r := students / tutors;,r:= students/tutors;,True
ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_c++_sets_no_hints_0,"['48', ' 49', ' 50', ' 51', ' 52', ' 53', ' 54', ' 56', ' 57']","[48, 49, 50, 51, 52, 53, 54, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68]",void,57.0,True,50.0,Others,18,False,,,,var s2:set<seq<uint32>> := s1 - { m1 };,False
Clover_triple2_no_hints_16,"['8', ' 9', ' 10']","[4, 5, 6, 7, 8, 9, 10]",int,10.0,True,42.85714285714285,Others,7,False,,,,r:= x+y;,False
Clover_double_quadruple_no_hints_4,"['4', ' 5']","[4, 5]",int_int,5.0,True,100.0,100%,2,True,0,5,b := 4 * x;,b := 2 * a;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_3,['9'],[9],int,9.0,True,100.0,100%,1,True,0,9,r := 3 * x;,r := 3 * x;,True
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_4,"['29\n64', ' 29']","[64, 29, 29]",void,29.0,True,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_0,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,25.0,True,64.28571428571429,Others,14,True,1,25,return temp * temp; //buggy line,return temp * temp;,True
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_4,"['32', ' 33', ' 34', ' 36']","[32, 33, 34, 35, 36]",int_int,32.0,True,80.0,Others,5,True,0,32,s := x + y; //buggy line,s := x + y;,True
dafny-synthesis_task_id_86_no_hints_1,['5'],[5],nat,5.0,True,100.0,100%,1,True,0,5,result := 3 * n * (n - 1) + 1;,result := 3 * n * (n - 1) + 1;,True
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_23,"['29\n64', ' 29']","[29, 64, 29]",void,29.0,True,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_37,"['31', ' 32']","[31, 32]",int,31.0,True,100.0,100%,2,True,0,31,var y := x / 2;,var y := x / 2;,True
dafny-synthesis_task_id_127_no_hints_2,['4'],[4],int,4.0,True,100.0,100%,1,True,0,4,result := a * b;,result := a * b;,True
dafny-synthesis_task_id_622_no_hints_3,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4,False,,,,median := (a[a.Length / 2 - 1] + b[0]) / 2;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_31,"['21', ' 22', ' 23']","[17, 18, 19, 20, 21, 22, 23]",int,22.0,True,42.85714285714285,Others,7,True,0,22,var y := -2 * x; //buggy line,var y:= 2 * x;,False
dafny-synthesis_task_id_458_no_hints_2,['6'],[6],int,6.0,True,100.0,100%,1,True,0,6,area := length * width; //buggy line,area := length * width;,True
Dafny_tmp_tmpmvs2dmry_examples1_no_hints_0,"['28', ' 29']","[28, 29]",int_int,28.0,True,100.0,100%,2,True,0,28,more := x + y;,more := x + y;,True
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_11,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,80.0,True,77.77777777777779,Others,9,True,0,80,var n := |str1| - k + 1;,var n := |str1|-k;,False
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_12,['68'],"[65, 66, 67, 68]",int,68.0,True,25.0,Others,4,True,0,68,availableSpaces := normalSpaces - |carPark| - badParkingBuffer; //buggy line,availableSpaces := (normalSpaces - |carPark|) - badParkingBuffer;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_11,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3,True,1,37,a := 10; //buggy line,a := a + b;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_7,['16'],[16],int,16.0,True,100.0,100%,1,True,0,16,r := 3 * x;,r:= 3 * x;,True
dafny-synthesis_task_id_432_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,median := (a + b) / 2;,median := (a + b) / 2;,True
dafny-synthesis_task_id_430_no_hints_0,['5'],[5],real,5.0,True,100.0,100%,1,True,0,5,directrix := k - 1.0 / (4.0 * a);,directrix := k - 1.0 / (4.0 * a);,True
cs357_tmp_tmpn4fsvwzs_lab7_question2_no_hints_3,"['4', ' 5', ' 6', ' 8']","[4, 5, 6, 7, 8]",int,4.0,True,80.0,Others,5,False,,,,var a:= x+1;,False
nitwit_tmp_tmplm098gxz_nit_no_hints_14,['165'],"[157, 165]",nat,165.0,True,50.0,Others,2,True,0,165,nf := mn - n; //buggy line,nf := mn - n;,True
703FinalProject_tmp_tmpr_10rn4z_gaussian_no_hints_5,"['9', ' 10', ' 11', ' 12', ' 13', ' 14', ' 17', ' 18', ' 19', ' 20']","[9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]",array(real),20.0,True,90.9090909090909,Others,11,True,0,20,i := i + 1;,i := i+1;,True
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_13,"['35', ' 36', ' 38', ' 39']","[35, 36, 37, 38, 39, 39]",void,39.0,True,66.66666666666666,Others,6,False,,,,"while(k < 5) { print a[k], ""\n""; k := k+1;}",False
dafny-synthesis_task_id_581_no_hints_0,['6'],[6],int,6.0,True,100.0,100%,1,True,0,6,area := baseEdge * baseEdge + 2 * baseEdge * height; //buggy line,area := baseEdge * baseEdge + 2 * baseEdge * height;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_3,"['38', ' 39', ' 40', ' 41', ' 42', ' 43']","[38, 39, 40, 41, 42, 43]",void,42.0,True,100.0,100%,6,True,0,42,footprint := {this} + n.footprint;,footprint := {this} + n.footprint;,True
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_3,"['20', ' 21', ' 23']","[20, 21, 23]",void,23.0,True,100.0,100%,3,True,0,23,a := b; //buggy line,a := a + b;,False
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_13,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,80.0,True,87.5,Others,8,False,,,,size := size - 1;,False
dafny-synthesis_task_id_268_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,star := 6 * n * (n - 1) + 1; //buggy line,star := 6 * n * (n - 1) + 1;,True
dafny-synthesis_task_id_441_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,area := 6 * size * size;,area := 6 * size * size;,True
Clover_triple2_no_hints_11,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,7.0,True,42.85714285714285,Others,7,False,,,,r:=(a+b)/2;,False
Clover_triple4_no_hints_4,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2,True,0,5,r := y + x;,r := y+x;,True
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_7,"['64', ' 29\n29']","[64, 29, 29]",void,29.0,False,33.33333333333333,Others,3,False,,,,"a, c := 50, 2.0 * z;",False
dafny-synthesis_task_id_266_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,area := 4 * size * size;,area := 4 * size * size;,True
Clover_avg_no_hints_1,['4'],[4],int,4.0,True,100.0,100%,1,True,0,4,avg := (a + b) / 2;,avg:= (a + b) / 2;,True
dafny-synthesis_task_id_641_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,number := n * (7 * n - 5) / 2; //buggy line,number := n * (7 * n - 5) / 2;,True
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_5,"['53', ' 54']","[53, 54]",int,54.0,True,100.0,100%,2,False,,,,z := x-1;,False
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_15,"['64', ' 65']","[64, 65]",void,64.0,True,100.0,100%,2,True,0,64,V := (V - C) + {v};,V := V - C + {v};,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_3,['28'],[28],void,28.0,True,100.0,100%,1,True,0,28,N := N + 1;,N := N + 1;,True
dafny-synthesis_task_id_622_no_hints_0,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4,False,,,,median := (a[a.Length / 2 - 1] + b[0]) / 2;,False
Clover_triple2_no_hints_12,"['8', ' 9', ' 10']","[4, 5, 6, 7, 8, 9, 10]",int,9.0,True,42.85714285714285,Others,7,True,1,9,var y := 2 * x; //buggy line,var y:=2*x;,True
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_8,"['30', ' 31', ' 28', ' 34', ' 57']","[28, 30, 31, 34, 36, 38, 40, 43, 45, 46, 48, 49, 51, 53, 54, 57]",int,57.0,True,31.25,Others,16,True,0,57,p := p + 1; //buggy line,p:= p +1;,True
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_13,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,103.0,True,77.77777777777779,Others,9,True,0,103,i := i + 1; //buggy line,i:=i+1;,True
dafny-synthesis_task_id_80_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,t := n * (n + 1) * (n + 2) / 6;,t := n * (n + 1) * (n + 2) / 6;,True
dafny-synthesis_task_id_452_no_hints_0,"['5', ' 6']","[5, 6, 7, 8]",int,6.0,True,50.0,Others,4,True,0,6,loss := costPrice - sellingPrice;,loss := costPrice - sellingPrice;,True
dafny-synthesis_task_id_59_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,octagonalNumber := n * (3 * n - 2); //buggy line,octagonalNumber := n * (3 * n - 2);,True
dafny-workout_tmp_tmp0abkw6f8_starter_ex03_no_hints_0,['7'],[7],int,7.0,True,100.0,100%,1,True,0,7,return -x; //buggy line,return x + 2;,False
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_3,['26'],[26],void,26.0,True,100.0,100%,1,True,0,26,V := V + {v};,V := V + {v};,True
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_7,"['32', ' 33', ' 34', ' 36']","[32, 33, 34, 35, 36]",int_int,32.0,True,80.0,Others,5,True,0,32,s := x + y; //buggy line,s := x + y;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_8,['28'],[28],void,28.0,True,100.0,100%,1,True,0,28,N := N + 1; //buggy line,N := N + 1;,True
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_20,"['156', ' 157', ' 158', ' 159', ' 164', ' 165', ' 166', ' 149']","[156, 157, 158, 159, 164, 165, 166, 149]",CircularArray,164.0,True,100.0,100%,8,False,,,,q2.size := size + q1.size;,False
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_5,['16'],[16],int,16.0,True,100.0,100%,1,True,0,16,r := 3 * x;,r:= 3 * x;,True
dafny-synthesis_task_id_89_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1,True,0,5,m := n - 1; //buggy line,m := n - 1;,True
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_1,['9'],[9],int,9.0,True,100.0,100%,1,True,0,9,r := 3 * x;,r := 3 * x;,True
t1_MF_tmp_tmpi_sqie4j_exemplos_classes_parte1_contadorV1b_no_hints_4,['30'],[30],void,30.0,True,100.0,100%,1,True,0,30,valor := valor - 1; //buggy line,valor := valor -1 ;,True
