Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Category,Total_Lines_Num
dafny-synthesis_task_id_268_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1
Clover_triple2_no_hints_8,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,7.0,True,42.857142857142854,Others,7
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_3,"['30', ' 31']","[26, 27, 29, 30, 31]",nat,31.0,True,40.0,Others,5
dafny-synthesis_task_id_606_no_hints_3,['4'],[4],real,4.0,True,100.0,100%,1
dafny-synthesis_task_id_82_no_hints_3,['5'],[5],real,5.0,True,100.0,100%,1
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_41,"['31', ' 32']","[31, 32]",int,32.0,True,100.0,100%,2
Clover_double_quadruple_no_hints_7,"['4', ' 5']","[4, 5]",int_int,5.0,True,100.0,100%,2
Clover_swap_arith_no_hints_0,"['9', ' 10']","[6, 8, 9, 10]",int_int,8.0,False,50.0,Others,4
se2011_tmp_tmp71eb82zt_ass2_ex2_no_hints_0,"['14', ' 18', ' 21', ' 22', ' 24', ' 33', ' 34']","[14, 15, 17, 18, 21, 22, 22, 24, 24, 24, 26, 28, 29, 29, 30, 31, 32, 33, 34, 36]",int,34.0,True,35.0,Others,20
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1
Clover_triple2_no_hints_1,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,6.0,True,42.857142857142854,Others,7
Clover_update_array_no_hints_1,"['8', ' 9']","[8, 9]",void,8.0,True,100.0,100%,2
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_20,"['64', ' 29\n29']","[64, 29, 29]",void,29.0,False,33.33333333333333,Others,3
dafny-synthesis_task_id_432_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1
Clover_swap_arith_no_hints_11,"['9', ' 10']","[6, 8, 9, 10]",int_int,10.0,True,50.0,Others,4
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_23,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,31.0,True,81.81818181818183,Others,22
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_7,"['64', ' 65', ' 67', ' 18']","[64, 65, 15, 67, 18]",void,67.0,True,80.0,Others,5
dafny-synthesis_task_id_86_no_hints_3,['5'],[5],nat,5.0,True,100.0,100%,1
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_4,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,30.0,True,64.28571428571429,Others,14
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_4,"['20', ' 21', ' 24', ' 26']","[16, 17, 19, 20, 21, 22, 23, 24, 26, 28]",void,28.0,False,40.0,Others,10
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_12,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,103.0,True,77.77777777777779,Others,9
dafny-synthesis_task_id_276_no_hints_3,['6'],[6],real,6.0,True,100.0,100%,1
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_12,"['7', ' 9', ' 12', ' 13', ' 14', ' 16', ' 17', ' 18', ' 19', ' 25', ' 26', ' 27', ' 28', ' 30', ' 31', ' 32', ' 34', ' 35']","[7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 21, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35]",real_real,28.0,True,81.81818181818183,Others,22
dafny-mini-project_tmp_tmpjxr3wzqh_src_project2a_no_hints_11,['125'],[125],void,125.0,True,100.0,100%,1
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_week9_lemma_no_hints_3,['6'],"[5, 6]",int,6.0,True,50.0,Others,2
ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_c++_sets_no_hints_0,"['48', ' 49', ' 50', ' 51', ' 52', ' 53', ' 54', ' 56', ' 57']","[48, 49, 50, 51, 52, 53, 54, 56, 57, 59, 60, 61, 62, 63, 64, 66, 67, 68]",void,57.0,True,50.0,Others,18
Clover_triple2_no_hints_16,"['8', ' 9', ' 10']","[4, 5, 6, 7, 8, 9, 10]",int,10.0,True,42.857142857142854,Others,7
Clover_double_quadruple_no_hints_4,"['4', ' 5']","[4, 5]",int_int,5.0,True,100.0,100%,2
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_3,['9'],[9],int,9.0,True,100.0,100%,1
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_4,"['29\n64', ' 29']","[64, 29, 29]",void,29.0,True,33.33333333333333,Others,3
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_0,"['16', ' 17', ' 19', ' 20', ' 22', ' 24', ' 25', ' 29', ' 30']","[16, 17, 19, 19, 20, 22, 22, 23, 24, 25, 27, 28, 29, 30]",real,25.0,True,64.28571428571429,Others,14
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_4,"['32', ' 33', ' 34', ' 36']","[32, 33, 34, 35, 36]",int_int,32.0,True,80.0,Others,5
dafny-synthesis_task_id_86_no_hints_1,['5'],[5],nat,5.0,True,100.0,100%,1
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_23,"['29\n64', ' 29']","[29, 64, 29]",void,29.0,True,33.33333333333333,Others,3
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_37,"['31', ' 32']","[31, 32]",int,31.0,True,100.0,100%,2
dafny-synthesis_task_id_127_no_hints_2,['4'],[4],int,4.0,True,100.0,100%,1
dafny-synthesis_task_id_622_no_hints_3,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_31,"['21', ' 22', ' 23']","[17, 18, 19, 20, 21, 22, 23]",int,22.0,True,42.857142857142854,Others,7
dafny-synthesis_task_id_458_no_hints_2,['6'],[6],int,6.0,True,100.0,100%,1
Dafny_tmp_tmpmvs2dmry_examples1_no_hints_0,"['28', ' 29']","[28, 29]",int_int,28.0,True,100.0,100%,2
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_11,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,80.0,True,77.77777777777779,Others,9
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_12,['68'],"[65, 66, 67, 68]",int,68.0,True,25.0,Others,4
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_11,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_7,['16'],[16],int,16.0,True,100.0,100%,1
dafny-synthesis_task_id_432_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1
dafny-synthesis_task_id_430_no_hints_0,['5'],[5],real,5.0,True,100.0,100%,1
cs357_tmp_tmpn4fsvwzs_lab7_question2_no_hints_3,"['4', ' 5', ' 6', ' 8']","[4, 5, 6, 7, 8]",int,4.0,True,80.0,Others,5
nitwit_tmp_tmplm098gxz_nit_no_hints_14,['165'],"[157, 165]",nat,165.0,True,50.0,Others,2
703FinalProject_tmp_tmpr_10rn4z_gaussian_no_hints_5,"['9', ' 10', ' 11', ' 12', ' 13', ' 14', ' 17', ' 18', ' 19', ' 20']","[9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]",array(real),20.0,True,90.9090909090909,Others,11
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_13,"['35', ' 36', ' 38', ' 39']","[35, 36, 37, 38, 39, 39]",void,39.0,True,66.66666666666666,Others,6
dafny-synthesis_task_id_581_no_hints_0,['6'],[6],int,6.0,True,100.0,100%,1
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_3,"['38', ' 39', ' 40', ' 41', ' 42', ' 43']","[38, 39, 40, 41, 42, 43]",void,42.0,True,100.0,100%,6
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_3,"['20', ' 21', ' 23']","[20, 21, 23]",void,23.0,True,100.0,100%,3
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_13,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,80.0,True,87.5,Others,8
dafny-synthesis_task_id_268_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1
dafny-synthesis_task_id_441_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1
Clover_triple2_no_hints_11,"['5', ' 6', ' 7']","[4, 5, 6, 7, 8, 9, 10]",int,7.0,True,42.857142857142854,Others,7
Clover_triple4_no_hints_4,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_7,"['64', ' 29\n29']","[64, 29, 29]",void,29.0,False,33.33333333333333,Others,3
dafny-synthesis_task_id_266_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1
Clover_avg_no_hints_1,['4'],[4],int,4.0,True,100.0,100%,1
dafny-synthesis_task_id_641_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_5,"['53', ' 54']","[53, 54]",int,54.0,True,100.0,100%,2
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_15,"['64', ' 65']","[64, 65]",void,64.0,True,100.0,100%,2
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_3,['28'],[28],void,28.0,True,100.0,100%,1
dafny-synthesis_task_id_622_no_hints_0,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4
Clover_triple2_no_hints_12,"['8', ' 9', ' 10']","[4, 5, 6, 7, 8, 9, 10]",int,9.0,True,42.857142857142854,Others,7
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_8,"['30', ' 31', ' 28', ' 34', ' 57']","[28, 30, 31, 34, 36, 38, 40, 43, 45, 46, 48, 49, 51, 53, 54, 57]",int,57.0,True,31.25,Others,16
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_13,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,103.0,True,77.77777777777779,Others,9
dafny-synthesis_task_id_80_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1
dafny-synthesis_task_id_452_no_hints_0,"['5', ' 6']","[5, 6, 7, 8]",int,6.0,True,50.0,Others,4
dafny-synthesis_task_id_59_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1
dafny-workout_tmp_tmp0abkw6f8_starter_ex03_no_hints_0,['7'],[7],int,7.0,True,100.0,100%,1
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_3,['26'],[26],void,26.0,True,100.0,100%,1
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_7,"['32', ' 33', ' 34', ' 36']","[32, 33, 34, 35, 36]",int_int,32.0,True,80.0,Others,5
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_8,['28'],[28],void,28.0,True,100.0,100%,1
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_20,"['156', ' 157', ' 158', ' 159', ' 164', ' 165', ' 166', ' 149']","[156, 157, 158, 159, 164, 165, 166, 149]",CircularArray,164.0,True,100.0,100%,8
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_5,['16'],[16],int,16.0,True,100.0,100%,1
dafny-synthesis_task_id_89_no_hints_0,['5'],[5],int,5.0,True,100.0,100%,1
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_1,['9'],[9],int,9.0,True,100.0,100%,1
t1_MF_tmp_tmpi_sqie4j_exemplos_classes_parte1_contadorV1b_no_hints_4,['30'],[30],void,30.0,True,100.0,100%,1
dafny-synthesis_task_id_266_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_SharedDestructorsCompile_no_hints_0,"['22', ' 25', ' 26', ' 27', ' 30', ' 31']","[15, 16, 18, 20, 22, 25, 26, 27, 30, 31, 34, 35]",void,31.0,True,50.0,Others,12
se2011_tmp_tmp71eb82zt_ass1_ex6_no_hints_0,['5'],[5],nat,5.0,True,100.0,100%,1
Clover_double_quadruple_no_hints_3,"['4', ' 5']","[4, 5]",int_int,4.0,True,100.0,100%,2
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_5,"['30', ' 31', ' 28', ' 34', ' 57']","[28, 30, 31, 34, 36, 38, 40, 43, 45, 46, 48, 49, 51, 53, 54, 57]",int,51.0,False,31.25,Others,16
dafny-synthesis_task_id_264_no_hints_1,['5'],[5],int,5.0,True,100.0,100%,1
t1_MF_tmp_tmpi_sqie4j_exemplos_classes_parte1_contadorV1b_no_hints_3,['23'],[23],void,23.0,True,100.0,100%,1
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_15,"['76', ' 44\n44']","[44, 76, 44]",void,44.0,False,33.33333333333333,Others,3
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_9,"['73', ' 74', ' 75', ' 80', ' 81', ' 68', ' 78']","[73, 74, 75, 77, 78, 80, 81, 68]",int,75.0,True,87.5,Others,8
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_add_by_one_details_no_hints_3,['4'],[4],int,4.0,True,100.0,100%,1
dafny-synthesis_task_id_622_no_hints_1,"['9', ' 10', ' 12']","[9, 10, 11, 12]",int,10.0,True,75.0,Others,4
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_8,"['50', ' 51']","[50, 51]",void,50.0,True,100.0,100%,2
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_9,"['22', ' 24', ' 26', ' 28']","[18, 19, 21, 22, 24, 26, 28, 30]",void,30.0,False,50.0,Others,8
Clover_update_array_no_hints_0,"['8', ' 9']","[8, 9]",void,8.0,True,100.0,100%,2
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_MaxSum_no_hints_0,"['5', ' 6', ' 7', ' 8', ' 9', ' 11']","[5, 6, 7, 8, 8, 9, 10, 11]",int_int,5.0,True,75.0,Others,8
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_40,"['31', ' 32']","[31, 32]",int,32.0,True,100.0,100%,2
dafny-synthesis_task_id_312_no_hints_2,['5'],[5],real,5.0,True,100.0,100%,1
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_3,"['20', ' 21', ' 24', ' 26']","[16, 17, 19, 20, 21, 22, 23, 24, 26, 28]",void,26.0,True,40.0,Others,10
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_15,"['77', ' 80', ' 90', ' 98', ' 99', ' 103', ' 106']","[77, 80, 90, 95, 98, 99, 102, 103, 106]",bool,103.0,True,77.77777777777779,Others,9
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_13,"['23', ' 24']","[23, 24]",int_int,24.0,True,100.0,100%,2
nitwit_tmp_tmplm098gxz_nit_no_hints_15,['165'],"[157, 165]",nat,165.0,True,50.0,Others,2
Final-Project-Dafny_tmp_tmpmcywuqox_Final_Project_3_no_hints_3,"['4', ' 5']","[4, 5, 6, 7]",int,5.0,True,50.0,Others,4
cs245-verification_tmp_tmp0h_nxhqp_Assignments_simple_no_hints_1,['11'],[11],int,11.0,True,100.0,100%,1
Clover_multi_return_no_hints_6,"['5', ' 6']","[5, 6]",int_int,6.0,True,100.0,100%,2
dafny-synthesis_task_id_581_no_hints_2,['6'],[6],int,6.0,True,100.0,100%,1
Clover_triple2_no_hints_19,"['8', ' 9', ' 10']","[4, 5, 6, 7, 8, 9, 10]",int,10.0,True,42.857142857142854,Others,7
dafny-workout_tmp_tmp0abkw6f8_starter_ex03_no_hints_7,['16'],[16],real,16.0,True,100.0,100%,1
Clover_triple_no_hints_1,['4'],[4],int,4.0,True,100.0,100%,1
Formal_Verification_With_Dafny_tmp_tmp5j79rq48_Counter_no_hints_5,['30'],[30],void,30.0,True,100.0,100%,1
Clover_triple4_no_hints_7,"['4', ' 5']","[4, 5]",int,5.0,True,100.0,100%,2
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_3,['32'],"[20, 29, 30, 32, 139, 141, 143, 153]",void,32.0,True,12.5,Others,8
Final-Project-Dafny_tmp_tmpmcywuqox_Final_Project_3_no_hints_1,"['4', ' 5']","[4, 5, 6, 7]",int,5.0,True,50.0,Others,4
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_1,"['9', ' 12', ' 17', ' 24']","[6, 9, 12, 17, 20, 24, 27]",bool,24.0,True,57.14285714285714,Others,7
cs357_tmp_tmpn4fsvwzs_lab7_question2_no_hints_0,"['4', ' 5', ' 6', ' 8']","[4, 5, 6, 7, 8]",int,4.0,True,80.0,Others,5
dafny-synthesis_task_id_264_no_hints_3,['5'],[5],int,5.0,True,100.0,100%,1
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_20,"['133', ' 134']","[128, 129, 132, 133, 134]",bool,133.0,True,40.0,Others,5
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_3,"['47', ' 48', ' 49']","[45, 47, 48, 49, 50, 50, 51, 52]",bool,48.0,True,37.5,Others,8
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_27,"['71', ' 37\n37']","[71, 37, 37]",void,37.0,False,33.33333333333333,Others,3
dafny-synthesis_task_id_803_no_hints_0,"['7', ' 11']","[6, 7, 9, 11]",bool,9.0,False,50.0,Others,4
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints_5,"['12', ' 14', ' 16']","[10, 12, 13, 14, 15, 16]",int,14.0,True,50.0,Others,6
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_0,['13'],"[10, 11, 12, 13]",int_int,11.0,False,25.0,Others,4
Clover_triple_no_hints_0,['4'],[4],int,4.0,True,100.0,100%,1
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_0,"['30', ' 31']","[26, 27, 29, 30, 31]",nat,31.0,True,40.0,Others,5
Clover_multi_return_no_hints_7,"['5', ' 6']","[5, 6]",int_int,6.0,True,100.0,100%,2
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_23,"['133', ' 134']","[128, 129, 132, 133, 134]",bool,133.0,True,40.0,Others,5
dafny-synthesis_task_id_312_no_hints_3,['5'],[5],real,5.0,True,100.0,100%,1
