Name,Attempt,Patch,Repaired,Type,Original
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_12,,,False,int,availableSpaces := (normalSpaces - |carPark|) - badParkingBuffer;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_31,,,False,void,a := a + 2*b;
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_12,,,False,void,"while(k < 5) { print a[k], ""\n""; k := k+1;}"
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_11,,,False,bool,var n := |str1|-k;
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_12,,,False,int,size := size - 1;
Clover_swap_arith_no_hints_8,,,False,int_int,x := y + x;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_19,,,False,int,"var a, b := 2 * x, 4 * x;"
nitwit_tmp_tmplm098gxz_nit_no_hints_7,,,False,nat_nat,carry := (n + 1) / b;
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_9,,,False,void,var k := (z-1) / 2;
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_0,,,False,int,var y := 2*x;
dafny-synthesis_task_id_801_no_hints_0,,,False,int,count := count + 1;
Clover_swap_arith_no_hints_2,,,False,int_int,x := y - x;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_4,,,False,void,footprint := footprint + n.footprint;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_16,,,False,int,"var a, b := 2 * x, 4 * x;"
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_24,,,False,void,a := a + b;
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_9,,,False,int,p:= p +1;
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_0,,,False,real,return temp * temp;
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_3,,,False,real_real,var constant:real := (size as real) * tau;
Clover_swap_arith_no_hints_7,,,False,int_int,y := y - x;
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_6,,,False,real,return temp * temp * x;
nitwit_tmp_tmplm098gxz_nit_no_hints_4,,,False,nat_nat,carry := (n + 1) / b;
dafny-synthesis_task_id_82_no_hints_0,,,False,real,volume := 4.0/3.0 * 3.1415926535 * radius * radius * radius;
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_7,,,False,void,var k := z/2;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_11,,,False,void,spine := spine + {n};
Clover_triple4_no_hints_0,,,False,int,var y:= x*2;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_4,,,False,void,"a, c := 50, 2.0 * z;"
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_3,,,False,void,a := a + b;
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_20,,,False,bool,carPark := carPark + {car};
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_12,,,False,void,a := a + 2*b;
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_7,,,False,int,z := x-1;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_8,,,False,bool,var n := |str1|-k;
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_23,,,False,real_real,thetha[t+1] := thetha[t] - learning_rate*summation_gradient;
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_9,,,False,int,start := start + 1;
Dafny_tmp_tmpmvs2dmry_examples1_no_hints_3,,,False,int_int,more := x + y;
dafny-synthesis_task_id_59_no_hints_0,,,False,int,octagonalNumber := n * (3 * n - 2);
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_19,,,False,void,a := a + b;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_12,,,False,int_int,b := 2 * a;
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_3,,,False,void,V := V + {v};
Clover_triple3_no_hints_0,,,False,int,var y:=2*x;
dafny-synthesis_task_id_641_no_hints_3,,,False,int,number := n * (7 * n - 5) / 2;
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_16,,,False,bool,subscriptions := subscriptions + {car};
Clover_swap_arith_no_hints_0,,,False,int_int,x := y - x;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_16,,,False,nat,i := i - 1;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_3,,,False,int,var y := 2 * x;
dafny-synthesis_task_id_641_no_hints_0,,,False,int,number := n * (7 * n - 5) / 2;
nitwit_tmp_tmplm098gxz_nit_no_hints_9,,,False,nat,nmax := b - 1;
Clover_triple2_no_hints_0,,,False,int,"var a,b := 2*x, 4*x;"
dafny-synthesis_task_id_171_no_hints_1,,,False,int,perimeter := 5 * side;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_31,,,False,int,var y:= 2 * x;
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_0,,,False,void,size := size + 1;
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_1,,,False,int,var y := 2*x;
Clover_triple4_no_hints_7,,,False,int,r := y+x;
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_5,,,False,int,i := i + 1;
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_4,,,False,void,i := i+1;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_0,,,False,int,var y := 2 * x;
dafny-synthesis_task_id_801_no_hints_4,,,False,int,count := count + 1;
dafny-mini-project_tmp_tmpjxr3wzqh_src_project2a_no_hints_8,,,False,void,messages := messages - { m };
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_4,,,False,int,r := y + x;
dafny-mini-project_tmp_tmpjxr3wzqh_src_project2a_no_hints_7,,,False,void,messages := { m } + messages;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_28,,,False,void,a := a + 2*b;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_8,,,False,int_int,a := 2 * x;
Clover_swap_arith_no_hints_3,,,False,int_int,x := y - x;
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_4,,,False,int_int,s := s - 3;
dafny-synthesis_task_id_452_no_hints_3,,,False,int,loss := costPrice - sellingPrice;
ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_c++_sets_no_hints_3,,,False,void,var s2:set<seq<uint32>> := s1 - { m1 };
dafny-learn_tmp_tmpn94ir40q_R01_functions_no_hints_3,,,False,int,val2 := 2 * val;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_0,,,False,void,a := a + b;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_4,,,False,void,"ghost var repr := Repr + {this} + {c,d};"
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_0,,,False,void,var i := a.Length - 1;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_15,,,False,int_int,b := 2 * a;
Clover_triple4_no_hints_3,,,False,int,var y:= x*2;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_5,,,False,bool,i := i+1;
dafny-synthesis_task_id_430_no_hints_0,,,False,real,directrix := k - 1.0 / (4.0 * a);
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_6,,,False,int,r := y + x;
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_12,,,False,int,r := y - 1;
formal_verication_dafny_tmp_tmpwgl2qz28_Challenges_ex2_no_hints_4,,,False,int_bool,z:= x/(42-y);
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints_1,,,False,int,r := 2*r;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_3,,,False,void,footprint := {this} + n.footprint;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_23,,,False,int,"var a, b := 2 * x, 4 * x;"
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_7,,,False,int_int,s := s - 3;
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_1,,,False,int_int,r := r - 2*s + 6;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_1,,,False,int,var y := 2 * x;
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_11,,,False,void,var k := (z-1) / 2;
dafny-synthesis_task_id_80_no_hints_3,,,False,int,t := n * (n + 1) * (n + 2) / 6;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_0,,,False,int,i := n/2;
se2011_tmp_tmp71eb82zt_ass1_ex6_no_hints_0,,,False,nat,k := n-(n%7);
dafny-programs_tmp_tmpcwodh6qh_src_ticketsystem_no_hints_0,,,False,void,"t, ticket := t[p := ticket], ticket + 1; // map update p to ticket, update ticket"
dafny-workout_tmp_tmp0abkw6f8_starter_ex03_no_hints_0,,,False,int,return x + 2;
Clover_triple2_no_hints_1,,,False,int,"var a,b := 2*x, 4*x;"
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_3,,,False,int,r := 3 * x;
Clover_triple2_no_hints_15,,,False,int,var y:=2*x;
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints_0,,,False,int_int_int_int,x := t1 + t2;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_36,,,False,int,var y := x / 2;
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_5,,,False,int,i:= i + 1;
dafny-mini-project_tmp_tmpjxr3wzqh_src_project2a_no_hints_4,,,False,void,messages := { m } + messages;
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_4,,,False,void,"E := E + {(u, v)};"
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_4,,,False,int,i:= i + 1;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_29,,,False,void,a := a + 2*b;
Clover_triple2_no_hints_7,,,False,int,"var a,b := 2*x, 4*x;"
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_0,,,False,void,footprint := {this} + n.footprint;
Clover_triple3_no_hints_4,,,False,int,r:= x+y;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_7,,,False,void,"a, c := 50, 2.0 * z;"
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_11,,,False,int_int,y := s - m;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_23,,,False,void,"a, c := 50, 2.0 * z;"
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_0,,,False,void,"var k := (exp(3,4*(n-1))+9) / 10;"
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_15,,,False,int,availableSpaces := (normalSpaces - |carPark|) - badParkingBuffer;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_3,,,False,int,i := n/2;
cs245-verification_tmp_tmp0h_nxhqp_Assignments_simple_no_hints_0,,,False,int,x := y + 1;
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_14,,,False,void,V := V - C + {v};
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_27,,,False,bool,reservedCarPark := reservedCarPark + {car};
nitwit_tmp_tmplm098gxz_nit_no_hints_15,,,False,nat,nf := mn - n;
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_4,,,False,int,z := x-1;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_7,,,False,int,r := x + y;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_27,,,False,void,a := a + b;
CVS-Projto1_tmp_tmpb1o0bu8z_searchSort_no_hints_0,,,False,bool,p := p + 1;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_SharedDestructorsCompile_no_hints_1,,,False,void,i := i + 1;
Clover_triple2_no_hints_16,,,False,int,r:= x+y;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_SharedDestructorsCompile_no_hints_0,,,False,void,i := i + 1;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_15,,,False,void,a := a + 2*b;
Clover_swap_arith_no_hints_4,,,False,int_int,y := y - x;
dafny-synthesis_task_id_581_no_hints_3,,,False,int,area := baseEdge * baseEdge + 2 * baseEdge * height;
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_8,,,False,void,V := V - {v};
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_0,,,False,int,var y := 2 * x;
dafny-synthesis_task_id_626_no_hints_0,,,False,int,area := radius * radius;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny4_ClassRefinement_no_hints_3,,,False,void,N := N + 1;
nitwit_tmp_tmplm098gxz_nit_no_hints_8,,,False,nat,nmax := b - 1;
Clover_double_quadruple_no_hints_7,,,False,int_int,b := 2 * a;
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_23,,,False,CircularArray,q2.size := size + q1.size;
703FinalProject_tmp_tmpr_10rn4z_DP-GD_no_hints_0,,,False,real_real,var constant:real := (size as real) * tau;
dafny-synthesis_task_id_135_no_hints_3,,,False,int,hexNum := n * ((2 * n) - 1);
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_8,,,False,int_int,y := s - m;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_28,,,False,int,var y:= 2 * x;
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_19,,,False,bool,subscriptions := subscriptions + {car};
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_5,,,False,int,z := x-1;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_5,,,False,int,r:= 3 * x;
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_13,,,False,int,size := size - 1;
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_24,,,False,bool,reservedCarPark := reservedCarPark + {car};
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints_5,,,False,int,r := -r+1;
nitwit_tmp_tmplm098gxz_nit_no_hints_23,,,False,nat_nat,carry := (x + y) / b;
dafny-programs_tmp_tmpcwodh6qh_src_ticketsystem_no_hints_1,,,False,void,"t, ticket := t[p := ticket], ticket + 1; // map update p to ticket, update ticket"
nitwit_tmp_tmplm098gxz_nit_no_hints_12,,,False,nat,nf := mn - n;
t1_MF_tmp_tmpi_sqie4j_exemplos_classes_parte1_contadorV1b_no_hints_4,,,False,void,valor := valor -1 ;
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_7,,,False,void,"E := E + {(u, v)};"
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_0,,,False,nat,return 1+aux;
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints_4,,,False,int,r := -r+1;
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_4,,,False,bool,reservedCarPark := reservedCarPark - {car};
Dafny_tmp_tmpmvs2dmry_examples1_no_hints_0,,,False,int_int,more := x + y;
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_23,,,False,bool,carPark := carPark + {car};
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_0,,,False,void,V := V + {v};
Clover_double_quadruple_no_hints_0,,,False,int_int,a := 2 * x;
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints_7,,,False,int_int_int_int,y := t1 + t2;
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_2,,,False,int_int,r := r - 2*s + 6;
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints_4,,,False,int_int_int_int,y := t1 + t2;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_8,,,False,void,a := a + b;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_11,,,False,int_int,a := 2 * x;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_40,,,False,int,r := 6 * y;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_13,,,False,void,a := a + 2*b;
dafny-synthesis_task_id_279_no_hints_0,,,False,int,decagonal := 4 * n * n - 3 * n;
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_3,,,False,int,var y := 2*x;
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_9,,,False,int,"i.val, r := i.val + 1, r + 1;"
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_11,,,False,int,start := start + 1;
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_8,,,False,void,i := i -1;
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_8,,,False,int,r := x - 1;
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_1,,,False,nat,return 1+aux;
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_1,,,False,void,"var k := (exp(3,4*(n-1))+9) / 10;"
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_0,,,False,bool,carPark := carPark - {car};
se2011_tmp_tmp71eb82zt_ass2_ex2_no_hints_0,,,False,int,i := i+1;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny1_Queue_no_hints_7,,,False,void,footprint := footprint + n.footprint;
dafny-language-server_tmp_tmpkir0kenl_Test_hofs_WhileLoop_no_hints_3,,,False,int,i.val := i.val + 1;
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_7,,,False,real,return temp * temp * x;
formal_verication_dafny_tmp_tmpwgl2qz28_Challenges_ex2_no_hints_7,,,False,int_bool,z:= x/(42-y);
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_20,,,False,CircularArray,q2.size := size + q1.size;
nitwit_tmp_tmplm098gxz_nit_no_hints_11,,,False,nat,nmax := b - 1;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_19,,,False,nat,i := i - 1;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_14,,,False,void,a := a + 2*b;
cs686_tmp_tmpdhuh5dza_classNotes_notes-9-8-21_no_hints_0,,,False,bool_int,count := count + 1;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_13,,,False,int_int,b := 2 * a;
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week1_7_MaxSum_no_hints_3,,,False,int_int,s := x+y;
DafnyProjects_tmp_tmp2acw_s4s_Power_no_hints_4,,,False,real,return temp * temp * x;
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_9,,,False,void,i := i -1;
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula2_no_hints_3,,,False,nat,return 1+aux;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Function_no_hints_0,,,False,int,r := 3 * x;
Clover_swap_arith_no_hints_6,,,False,int_int,y := y - x;
dafny-synthesis_task_id_135_no_hints_0,,,False,int,hexNum := n * ((2 * n) - 1);
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_17,,,False,nat,i := i - 1;
dafny-synthesis_task_id_279_no_hints_3,,,False,int,decagonal := 4 * n * n - 3 * n;
Clover_triple2_no_hints_11,,,False,int,r:=(a+b)/2;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_16,,,False,void,a := a + b;
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints_8,,,False,int,r := r -3;
stunning-palm-tree_tmp_tmpr84c2iwh_ch1_no_hints_7,,,False,int,r := y + x;
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_11,,,False,void,V := V - {v};
dafny-synthesis_task_id_441_no_hints_1,,,False,int,area := 6 * size * size;
nitwit_tmp_tmplm098gxz_nit_no_hints_20,,,False,nat_nat,carry := (x + y) / b;
dafny-workout_tmp_tmp0abkw6f8_starter_ex03_no_hints_4,,,False,real,return x + 1.0;
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_01_no_hints_2,,,False,int_int_int_int,x := t1 + t2;
nitwit_tmp_tmplm098gxz_nit_no_hints_14,,,False,nat,nf := mn - n;
formal_verication_dafny_tmp_tmpwgl2qz28_Challenges_ex2_no_hints_0,,,False,int,z:= x/(42-y);
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Ghost_no_hints_4,,,False,int,r := x + y;
Formal-methods-of-software-development_tmp_tmppryvbyty_Examenes_Beni_Heusel-Benedikt-Ass-1_no_hints_3,,,False,void,"var k := (exp(3,4*(n-1))+9) / 10;"
Clover_double_quadruple_no_hints_3,,,False,int_int,a := 2 * x;
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints_9,,,False,int,r := r -3;
Trab1-Metodos-Formais_tmp_tmp_8fa4trr_circular-array_no_hints_1,,,False,void,size := size + 1;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_13,,,False,bool,i:=i+1;
dafny-synthesis_task_id_279_no_hints_1,,,False,int,decagonal := 4 * n * n - 3 * n;
Clover_triple3_no_hints_3,,,False,int,var y:=2*x;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_41,,,False,int,r := 6 * y;
Dafny_tmp_tmpmvs2dmry_examples1_no_hints_4,,,False,int_int,less := x - y;
nitwit_tmp_tmplm098gxz_nit_no_hints_28,,,False,nat_nat,carry := (x + y + 1) / b;
dafny-synthesis_task_id_238_no_hints_1,,,False,int,count := (|s| * (|s| + 1)) / 2;
Dafny_tmp_tmpmvs2dmry_examples1_no_hints_7,,,False,int_int,less := x - y;
Formal_Verification_With_Dafny_tmp_tmp5j79rq48_Counter_no_hints_4,,,False,void,value := value - 1 ;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_0,,,False,bool,i := i + 1;
Formal_Verification_With_Dafny_tmp_tmp5j79rq48_Counter_no_hints_7,,,False,void,value := value - 1 ;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_12,,,False,bool,i:=i+1;
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_7,,,False,bool,i := i+1;
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p2_no_hints_5,,,False,int_int,s := s - 3;
dafl_tmp_tmp_r3_8w3y_dafny_examples_dafny0_DividedConstructors_no_hints_20,,,False,void,"a, c := 50, 2.0 * z;"
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_3,,,False,bool,carPark := carPark - {car};
CO3408-Advanced-Software-Modelling-Assignment-2022-23-Part-2-A-Specification-Spectacular_tmp_tmp4pj4p2zx_car_park_no_hints_8,,,False,int,availableSpaces := (normalSpaces - |carPark|) + (reservedSpaces - |reservedCarPark|) - badParkingBuffer;
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_15,,,False,void,V := V - C + {v};
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p3_no_hints_0,,,False,int,r := 2*r;
dafny-workout_tmp_tmp0abkw6f8_starter_ex03_no_hints_1,,,False,int,return x + 2;
eth2-dafny_tmp_tmpcrgexrgb_src_dafny_utils_SetHelpers_no_hints_0,,,False,void,var y' := y - { e };
eth2-dafny_tmp_tmpcrgexrgb_src_dafny_utils_SetHelpers_no_hints_3,,,False,void,var y' := y - { e };
Clover_triple2_no_hints_19,,,False,int,r:= x+y;
ironsync-osdi2023_tmp_tmpx80antoe_linear-dafny_Test_c++_sets_no_hints_0,,,False,void,var s2:set<seq<uint32>> := s1 - { m1 };
DafnyProjects_tmp_tmp2acw_s4s_Graph_no_hints_12,,,False,void,V := V - C + {v};
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Triple_no_hints_20,,,False,int,"var a, b := 2 * x, 4 * x;"
CSU55004---Formal-Verification_tmp_tmp4ki9iaqy_Project_Project_Part_1_project_pt_1_no_hints_1,,,False,bool,i := i + 1;
Dafny_Verify_tmp_tmphq7j0row_Test_Cases_Index_no_hints_7,,,False,int_int,s := x + y;
dafny-synthesis_task_id_801_no_hints_5,,,False,int,count := count + 1;
dafny-synthesis_task_id_89_no_hints_0,,,False,int,m := n - 1;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_add_by_one_details_no_hints_3,,,False,int,{return x+1;}
Formal-Methods-Project_tmp_tmphh2ar2xv_BubbleSort_no_hints_5,,,False,void,j := j + 1;
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_product_details_no_hints_0,,,False,nat,res := res+1;
cs245-verification_tmp_tmp0h_nxhqp_SortingIssues_BubbleSortCode_no_hints_5,,,False,void,i := i+1;
