Name,Fault_Loc,Total_Lines,Type,Line,Verify,Fault_Loc_Percentage,Total_Lines_Num,Category,Repaired,Attempt,Repair_Line,Repair_Fix,Repair_Original,Repair_Same
Clover_set_to_seq_3,"['4', ' 5', ' 6', ' 9', ' 10', ' 11']","[4, 5, 6, 9, 10, 11]",seq(T),10.0,True,100.0,6,100%,True,0,10,left := left - {x};,left := left - {x};,True
dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_TuringFactorial_5,"['13', ' 14', ' 15', ' 19', ' 20', ' 24', ' 25', ' 27']","[13, 14, 15, 19, 20, 24, 25, 27]",int,25.0,True,100.0,8,100%,True,0,25,s := s + 1;,s := s + 1;,True
MIEIC_mfes_tmp_tmpq3ho7nve_exams_appeal_20_p4_2,"['8', ' 13', ' 14']","[6, 7, 8, 13, 14, 16]",nat,13.0,True,50.0,6,Others,False,,,,"a, b, c := b, c, a + c;",False
dafny-duck_tmp_tmplawbgxjo_p6_4,"['23', ' 24', ' 26', ' 32']","[15, 16, 17, 23, 24, 26, 29, 30, 31, 32, 38, 40, 41, 43]",array(char),26.0,True,28.57142857142857,14,Others,True,0,26,i := i + 1; //buggy line,i := i + 1;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_InsertionSort_5,"['17', ' 21', ' 22', ' 23', ' 26', ' 27', ' 29']","[15, 17, 21, 22, 23, 26, 27, 29]",void,27.0,True,87.5,8,Others,True,0,27,down := down - 1;        //buggy line,down := down-1;,True
assertive-programming-assignment-1_tmp_tmp3h_cj44u_SearchAddends_15,"['34', ' 35', ' 36']","[34, 35, 36, 38, 42, 45, 46, 50, 52, 55]",nat_nat,52.0,False,30.0,10,Others,False,,,,i := i + 1;,False
Dafny_tmp_tmpmvs2dmry_examples2_38,"['81', ' 97', ' 98', ' 99']","[80, 80, 81, 81, 82, 83, 88, 91, 92, 95, 97, 98, 99, 104]",real,97.0,True,28.57142857142857,14,Others,False,,,,y:=x*y;,False
Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_3,"['23', ' 24', ' 25', ' 32', ' 33', ' 42', ' 44', ' 47', ' 49']","[23, 24, 25, 32, 33, 42, 44, 47, 49]",void,24.0,True,100.0,9,100%,False,,,,var i := N-1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_BubbleSort_sol_4,"['24', ' 26', ' 31', ' 32', ' 39', ' 44', ' 46', ' 48']","[24, 26, 31, 32, 39, 40, 42, 44, 46, 48]",void,48.0,True,80.0,10,Others,True,0,48,i := i + 1;,i := i+1;,True
dafny-duck_tmp_tmplawbgxjo_p4_16,"['12', ' 13', ' 15', ' 16', ' 18', ' 25', ' 26', ' 27', ' 30', ' 32', ' 38', ' 39', ' 40']","[12, 13, 15, 16, 18, 25, 26, 27, 30, 32, 38, 39, 40]",array(int),40.0,True,100.0,13,100%,True,0,40,index := index + 1; //buggy line,index:= index + 1;,True
Dafny-programs_tmp_tmpnso9eu7u_Algorithms + sorting_bubble-sort_4,"['23', ' 24', ' 25', ' 32', ' 33', ' 42', ' 44', ' 47', ' 49']","[23, 24, 25, 32, 33, 42, 44, 47, 49]",void,47.0,True,100.0,9,100%,True,0,47,j := j + 1;,j := j+1;,True
Formal-Verification_tmp_tmpuyt21wjt_Dafny_strings3_9,"['60', ' 61', ' 64', ' 65', ' 70', ' 71', ' 73', ' 75', ' 77']","[60, 61, 64, 65, 70, 71, 73, 75, 77]",bool,75.0,True,100.0,9,100%,True,0,75,i := i - 1;,i := i-1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session8Exercises_ExerciseInsertionSort_4,"['15', ' 17', ' 25', ' 26', ' 27', ' 37', ' 38', ' 42', ' 43']","[15, 17, 25, 26, 27, 37, 38, 42, 43]",void,43.0,True,100.0,9,100%,True,1,43,i := i + 1;,i := i + 1;,True
dafny-exercises_tmp_tmp5mvrowrx_leetcode_26-remove-duplicates-from-sorted-array_11,"['11', ' 12', ' 14', ' 15', ' 16', ' 17', ' 29', ' 30', ' 31', ' 37', ' 39']","[11, 12, 14, 15, 16, 17, 29, 30, 31, 37, 39]",int,39.0,True,100.0,11,100%,False,,,,return last + 1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_FindPivotIndex_20,"['116', ' 117', ' 118', ' 121', ' 128', ' 130', ' 131', ' 143', ' 147', ' 148', ' 151', ' 154', ' 156']","[116, 117, 118, 121, 128, 130, 131, 142, 143, 147, 148, 151, 154, 156]",int,154.0,True,92.85714285714286,14,Others,True,0,154,i := i + 1; //buggy line,i := i + 1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session9Exercises_ExerciseSeqMaxSum_15,"['61', ' 62', ' 63', ' 64', ' 65', ' 73', ' 74', ' 75', ' 76', ' 78', ' 80']","[61, 62, 63, 64, 65, 73, 74, 75, 76, 78, 80]",int_int,73.0,True,100.0,11,100%,True,1,73,s := s + v[j - 1]; //buggy line,s:=s+v[j-1];,True
check,[],[],,,False,0.0,0,Others,False,,,,,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_from dafny main repo_dafny2_MajorityVote_4,"['84', ' 85', ' 86', ' 92', ' 93', ' 94', ' 95', ' 105']","[84, 85, 86, 92, 93, 94, 94, 95, 96, 97, 100, 104, 105, 108]",Candidate,93.0,True,57.14285714285714,14,Others,False,,,,"n, c := n + 1, c + 1;",False
CVS-handout1_tmp_tmptm52no3k_1_3,"['32', ' 36', ' 37']","[29, 30, 32, 36, 37]",int,36.0,True,60.0,5,Others,False,,,,res := res + a[k];,False
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 2_BinarySearchDec_5,"['50', ' 52', ' 54', ' 55', ' 72']","[50, 52, 54, 55, 56, 62, 63, 65, 68, 69, 72]",int,62.0,False,45.45454545454545,11,Others,False,,,,var m := p + (q-p)/2;,False
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p5_2,[''],"[14, 15, 16, 17, 26, 28, 30, 37]",int,26.0,False,0.0,8,Others,False,,,,b := a*k + b;,False
Dafny-Exercises_tmp_tmpjm75muf__Session3Exercises_ExerciseMaximum_28,"['66', ' 73', ' 74']","[64, 65, 66, 73, 73, 74]",int,74.0,True,50.0,6,Others,True,0,74,j := j - 1; //buggy line,j:=j-1;,True
Clover_match_0,"['6', ' 10', ' 12', ' 14', ' 16']","[5, 6, 10, 12, 14, 16]",bool,14.0,True,83.33333333333334,6,Others,True,0,14,i := i + 1;,i := i + 1;,True
DafnyExercises_tmp_tmpd6qyevja_Part1_Q1_4,"['9', ' 13', ' 14']","[7, 8, 9, 13, 14]",array(int),14.0,True,60.0,5,Others,True,0,14,j := j + 1;,j := j + 1;,True
dafleet_tmp_tmpa2e4kb9v_0001-0050_0005-longest-palindromic-substring_4,"['41', ' 44', ' 48']","[41, 44, 48]",int_int,48.0,True,100.0,3,100%,True,0,48,"lo, hi := lo - 1, hi + 1;","lo, hi := lo - 1, hi + 1;",True
Dafny_Learning_Experience_tmp_tmpuxvcet_u_week8_12_a3 copy 2_20,"['105', ' 106', ' 109', ' 110', ' 111', ' 112']","[105, 106, 107, 108, 109, 110, 111, 112]",bool_T,111.0,True,75.0,8,Others,True,0,111,n2 := n2 - 1; //buggy line,n2 := n2 -1;,True
Workshop_tmp_tmp0cu11bdq_Lecture_Answers_triangle_number_1,"['7', ' 12', ' 13']","[5, 6, 7, 12, 13]",int,12.0,True,60.0,5,Others,True,0,12,n := n + 1; //buggy line,n:= n + 1;,True
dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_Intervals_20,"['48', ' 49', ' 51', ' 52', ' 57', ' 59', ' 60', ' 62', ' 65']","[48, 49, 51, 52, 57, 59, 60, 61, 62, 65]",int,60.0,True,90.0,10,Others,False,,,,i := mid + 1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_ProgramProofs_ch15_12,"['79', ' 80', ' 81', ' 89', ' 90', ' 92', ' 93', ' 97', ' 98']","[79, 80, 81, 89, 90, 91, 92, 93, 97, 98]",int,90.0,True,90.0,10,Others,True,0,90,m := m + 1; //buggy line,m := m + 1;,True
Clover_slope_search_4,"['14', ' 15']","[8, 9, 14, 15, 17, 18]",int_int,15.0,True,33.33333333333333,6,Others,True,0,15,m := m + 1;,m:=m+1;,True
Dafny_Verify_tmp_tmphq7j0row_dataset_C_convert_examples_11_3,"['8', ' 12', ' 13']","[5, 6, 8, 12, 13]",int_int,12.0,True,60.0,5,Others,True,2,12,j := j + 2;,j := j + 2;,True
M2_tmp_tmp2laaavvl_Software Verification_Exercices_Exo9-Carre_4,"['6', ' 11', ' 12']","[4, 5, 6, 11, 12]",nat,12.0,True,60.0,5,Others,True,0,12,i := i + 1;,i := i + 1;,True
dafny-language-server_tmp_tmpkir0kenl_Test_dafny1_MatrixFun_7,"['9', ' 10', ' 17', ' 18', ' 29', ' 30', ' 32']","[9, 10, 17, 18, 29, 30, 32]",void,32.0,True,100.0,7,100%,True,0,32,a := a + 1; //buggy line,a := a + 1;,True
llm-verified-eval_tmp_tmpd2deqn_i_dafny_161_1,"['32', ' 33', ' 34', ' 41', ' 42']","[32, 33, 34, 41, 42]",seq(char),41.0,True,100.0,5,100%,True,0,41,i := i - 1;,i := i - 1;,True
ProjectosCVS_tmp_tmp_02_gmcw_Handout 1_CVS_handout1_55754_55780_20,"['62', ' 68', ' 69']","[60, 61, 62, 68, 69]",int_int,68.0,True,60.0,5,Others,True,0,68,r := r - b;,r := r - b;,True
Software-Verification_tmp_tmpv4ueky2d_Longest Increasing Subsequence_longest_increasing_subsequence_0,"['7', ' 8', ' 10', ' 13', ' 14', ' 16', ' 34', ' 35']","[7, 8, 10, 13, 14, 16, 17, 22, 23, 26, 28, 31, 34, 35]",int,31.0,False,57.14285714285714,14,Others,True,1,8,if (length == 1) { return 1; } else { max := 1; },j := j + 1;,False
dafny-synthesis_task_id_644_4,"['5', ' 6', ' 7', ' 12', ' 13']","[5, 6, 7, 12, 13]",void,13.0,True,100.0,5,100%,True,0,13,i := i + 1;,i := i + 1;,True
dafny_examples_tmp_tmp8qotd4ez_leetcode_0069-sqrt_0,"['16', ' 17', ' 24', ' 25', ' 26', ' 27', ' 28', ' 30']","[16, 17, 24, 25, 26, 27, 27, 28, 29, 30]",int,24.0,True,80.0,10,Others,True,0,24,var mid := (l + r) / 2; //buggy line,var mid := (l + r) / 2;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_Percentile_1,"['28', ' 29', ' 31', ' 36', ' 37']","[28, 29, 31, 36, 37]",int,36.0,True,100.0,5,100%,False,,,,i := i + 1;,False
QS_BoilerPlate1_tmp_tmpa29vtz9__Ex2_3,"['12', ' 13', ' 14', ' 16', ' 22', ' 23']","[12, 13, 14, 16, 22, 23, 25]",array(int),12.0,True,85.71428571428571,7,Others,True,0,12,var size := r - l;,var size := r - l;,True
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p6_4,"['19', ' 20', ' 21', ' 22']","[19, 20, 21, 22, 23, 28, 31, 35]",int,31.0,False,50.0,8,Others,False,,,,a := a + x;,False
software_analysis_tmp_tmpmt6bo9sf_ss_5,"['67', ' 68', ' 69', ' 76', ' 77', ' 78']","[67, 68, 69, 76, 77, 78]",void,78.0,True,100.0,6,100%,True,0,78,i := i + 1;,i := i + 1;,True
Dafny_tmp_tmpmvs2dmry_examples2_48,"['81', ' 97', ' 98', ' 99']","[80, 80, 81, 81, 82, 83, 88, 91, 92, 95, 97, 98, 99, 104]",real,104.0,False,28.57142857142857,14,Others,False,,,,return x*y;,False
dafny_misc_tmp_tmpg4vzlnm1_rosetta_code_fibonacci_sequence_3,"['14', ' 15', ' 22', ' 27', ' 28']","[14, 15, 18, 19, 20, 22, 27, 28]",nat,27.0,True,62.5,8,Others,True,0,27,"prev, f := f, prev + f; //buggy line","prev, f := f, f + prev;",False
Formal-Methods-Project_tmp_tmphh2ar2xv_Factorial_3,"['5', ' 6', ' 7', ' 11', ' 12']","[5, 6, 7, 11, 12]",int,11.0,True,100.0,5,100%,True,0,11,z := z + 1;,z := z + 1;,True
MFS_tmp_tmpmmnu354t_Praticas_TP9_Power_3,"['22', ' 25', ' 26']","[19, 20, 22, 25, 26]",real,25.0,True,60.0,5,Others,True,0,25,p := p * b;,p := p * b;,True
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Merge_Sort_0,"['11', ' 12', ' 13', ' 14', ' 15', ' 17', ' 22', ' 23', ' 26', ' 31', ' 32', ' 34', ' 36', ' 40', ' 42', ' 43', ' 44', ' 57', ' 45', ' 46', ' 47', ' 49', ' 50', ' 51', ' 53', ' 54']","[11, 12, 13, 14, 15, 17, 22, 23, 26, 31, 32, 34, 36, 40, 41, 42, 42, 43, 44, 45, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 57]",void,23.0,True,83.87096774193549,31,Others,True,0,23,y := y + 1; //buggy line,y := y +1;,True
summer-school-2020_tmp_tmpn8nf7zf0_chapter02_solutions_exercise03_solution_11,"['52', ' 53', ' 54', ' 55', ' 65', ' 67', ' 68', ' 69', ' 66', ' 72', ' 73']","[52, 53, 54, 55, 64, 65, 66, 67, 68, 69, 71, 72, 73]",seq(int),69.0,True,84.61538461538461,13,Others,True,1,69,bi := bi + 1;,bi := bi + 1;,True
Dafny-Projects_tmp_tmph399drhy_p2_arraySplit_12,"['16', ' 20', ' 21', ' 32', ' 33', ' 39', ' 40', ' 41']","[9, 11, 12, 14, 16, 20, 21, 32, 33, 39, 40, 41]",array(int)_array(int),41.0,True,66.66666666666666,12,Others,True,0,41,j := j + 1;,j := j + 1;,True
Formal-Verification-Project_tmp_tmp9gmwsmyp_strings3_11,"['141', ' 142', ' 143', ' 145', ' 158', ' 159', ' 160', ' 161', ' 167']","[141, 142, 143, 145, 158, 159, 160, 161, 163, 166, 167]",nat,142.0,True,81.81818181818183,11,Others,False,,,,var i := |str1|+1;,False
dafny-exercise_tmp_tmpouftptir_prac3_ex2_1,"['6', ' 7', ' 14', ' 15', ' 17']","[6, 7, 14, 15, 17]",void,15.0,True,100.0,5,100%,True,0,15,s[i] := s[i] + 1;,s[i] := s[i] + 1;,True
Dafny_tmp_tmp0wu8wmfr_Heimaverkefni 8_H8_7,"['17', ' 19', ' 20', ' 21', ' 22', ' 29', ' 30', ' 31', ' 33', ' 37', ' 40']","[17, 18, 19, 20, 21, 22, 29, 30, 31, 33, 36, 37, 40]",multiset(int)_int_multiset(int),30.0,True,84.61538461538461,13,Others,True,0,30,m' := m' - multiset{temp}; //buggy line,m' := m' - multiset{temp};,True
Software-building-and-verification-Projects_tmp_tmp5tm1srrn_CVS-projeto_aula1_7,"['3', ' 4', ' 5', ' 6', ' 7']","[3, 4, 5, 6, 7]",int,7.0,True,100.0,5,100%,True,0,7,m := m - 1;,m := m-1;,True
Metodos_Formais_tmp_tmpql2hwcsh_Invariantes_fatorial2_0,"['11', ' 16', ' 17', ' 19']","[9, 10, 11, 16, 17, 19]",nat,16.0,True,66.66666666666666,6,Others,True,0,16,f := f * i;,f := f * i;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_basic examples_add_by_one_4,"['7', ' 12', ' 13', ' 15']","[5, 6, 7, 12, 13, 15]",int,13.0,True,66.66666666666666,6,Others,True,0,13,i := i + 1;,i := i + 1;,True
Dafny_tmp_tmpmvs2dmry_examples2_1,"['6', ' 11', ' 12']","[4, 5, 6, 11, 12]",nat,11.0,True,60.0,5,Others,False,,,,z := z+1;,False
dafl_tmp_tmp_r3_8w3y_dafny_examples_uiowa_binary-search_5,"['28', ' 30', ' 31', ' 32', ' 21', ' 37']","[19, 20, 21, 27, 28, 30, 31, 31, 32, 33, 34, 37]",bool,30.0,True,50.0,12,Others,True,0,30,lo := mid + 1;,lo := mid + 1 ;                 assert              mid < lo <= hi;,False
Final-Project-Dafny_tmp_tmpmcywuqox_Attempts_Exercise6_Binary_Search_1,"['9', ' 10', ' 11', ' 13', ' 40']","[9, 10, 11, 13, 15, 22, 24, 26, 28, 28, 30, 33, 35, 36, 40]",int,22.0,False,33.33333333333333,15,Others,False,,,,var med := (left + right) / 2;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_variant examples_SumOfCubes_9,"['36', ' 40']","[35, 36, 40, 42, 43, 44]",void,40.0,True,33.33333333333333,6,Others,True,0,40,k := k + 1; //buggy line,k := k + 1;,True
Dafny-Exercises_tmp_tmpjm75muf__Session3Exercises_ExerciseMaximum_17,"['46', ' 53', ' 54']","[45, 45, 46, 53, 53, 54]",int,54.0,True,50.0,6,Others,True,0,54,j := j + 1;,j:=j+1;,True
dafny-language-server_tmp_tmpkir0kenl_Test_dafny2_Intervals_8,"['22', ' 23', ' 25', ' 26', ' 31', ' 33', ' 34', ' 36', ' 39']","[22, 23, 25, 26, 31, 33, 34, 35, 36, 39]",int,36.0,True,90.0,10,Others,True,0,36,j := mid - 1; //buggy line,j := mid - 1;,True
tangent-finder_tmp_tmpgyzf44ve_circles_0,"['7', ' 8', ' 14', ' 15', ' 16', ' 24', ' 25', ' 27', ' 28', ' 30']","[7, 8, 14, 15, 16, 24, 25, 27, 28, 30, 32, 34]",bool,30.0,True,83.33333333333334,12,Others,True,0,30,l := l + 1; //buggy line,l := l + 1;,True
Metodos_Formais_tmp_tmpbez22nnn_Aula_2_ex2_4,"['11', ' 12', ' 13', ' 15', ' 18', ' 19', ' 22']","[11, 12, 13, 15, 18, 19, 22]",nat,19.0,True,100.0,7,100%,True,0,19,e := e - 1;,e := e - 1;,True
dafny-duck_tmp_tmplawbgxjo_p4_13,"['12', ' 13', ' 15', ' 16', ' 18', ' 25', ' 26', ' 27', ' 30', ' 32', ' 38', ' 39', ' 40']","[12, 13, 15, 16, 18, 25, 26, 27, 30, 32, 38, 39, 40]",array(int),39.0,True,100.0,13,100%,True,0,39,i := i + 1;,i := i + 1;,True
Programmverifikation-und-synthese_tmp_tmppurk6ime_PVS_Assignment_ex_06_Hoangkim_ex_06_hoangkim_4,"['17', ' 18', ' 19', ' 25', ' 27', ' 31']","[16, 17, 18, 19, 25, 27, 30, 31]",int,31.0,True,75.0,8,Others,True,0,31,x := x - d;,x := x - d;,True
dafny-synthesis_task_id_605_1,"['7', ' 11', ' 13', ' 16']","[5, 6, 7, 11, 13, 14, 16]",bool,16.0,True,57.14285714285714,7,Others,True,0,16,i := i + 1;,i := i + 1;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_algorithms and leetcode_leetcode_validAnagram_11,"['21', ' 22', ' 23', ' 29', ' 30', ' 31', ' 33', ' 35', ' 36', ' 43', ' 44', ' 45', ' 51', ' 52', ' 53', ' 55', ' 56', ' 57', ' 61']","[21, 22, 23, 29, 30, 31, 33, 35, 36, 43, 44, 45, 51, 52, 53, 55, 56, 57, 61]",bool,36.0,True,100.0,19,100%,True,1,36,scopy := scopy - removed[x := s[x]];,scopy := scopy - removed[x := s[x]];,True
dafny-language-server_tmp_tmpkir0kenl_Test_dafny1_MatrixFun_12,"['41', ' 42', ' 43', ' 44', ' 52', ' 53', ' 54', ' 56']","[41, 42, 43, 44, 52, 53, 54, 55, 56, 56]",void,56.0,True,80.0,10,Others,True,0,56,a := a + 1; b := a + 1; //buggy line,a := a + 1;  b := a + 1;,True
formal-methods-in-software-engineering_tmp_tmpe7fjnek6_Labs4_gr2_45,"['133', ' 142', ' 144', ' 146']","[129, 130, 131, 132, 133, 142, 144, 146]",int,146.0,True,50.0,8,Others,True,0,146,i := i + 1;,i := i+1;,True
HATRA-2022-Paper_tmp_tmp5texxy8l_copilot_verification_Two Sum_two_sum_4,"['10', ' 15', ' 26', ' 16', ' 28']","[9, 10, 15, 16, 22, 24, 26, 28]",int_int,26.0,True,62.5,8,Others,True,1,26,j := j + 1;,j := j + 1;,True
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_lightening_verifier_0,"['506', ' 508', ' 512', ' 513', ' 530', ' 532', ' 535', ' 544', ' 548']","[504, 506, 508, 512, 513, 530, 532, 535, 544, 547, 548]",void,535.0,True,81.81818181818183,11,Others,False,,,,i := i + 1;,False
Program-Verification-Dataset_tmp_tmpgbdrlnu__Dafny_advanced examples_ReverseString_17,"['18', ' 19', ' 20', ' 21', ' 22', ' 28', ' 29', ' 30']","[16, 17, 18, 19, 20, 21, 22, 28, 29, 30]",array(char),30.0,True,80.0,10,Others,True,0,30,j := j - 1;,j:=j-1;,True
veri-sparse_tmp_tmp15fywna6_dafny_dspmspv_19,"['82', ' 83', ' 85', ' 88', ' 91', ' 94', ' 100', ' 101', ' 102', ' 104', ' 113', ' 114', ' 115', ' 116', ' 117', ' 118', ' 119', ' 120', ' 121', ' 122', ' 123', ' 126']","[82, 83, 85, 86, 87, 88, 89, 90, 91, 94, 100, 101, 102, 104, 113, 114, 115, 116, 117, 118, 119, 120, 120, 121, 122, 122, 123, 126]",array(int),123.0,True,78.57142857142857,28,Others,False,,,,kV := kV + 1;,False
Dafny_tmp_tmp0wu8wmfr_tests_Search1000_21,['33'],"[14, 15, 15, 19, 19, 23, 23, 24, 24, 25, 25, 26, 26, 27, 27, 28, 28, 29, 29, 33, 33]",int,27.0,False,4.761904761904762,21,Others,True,1,27,if a[k+7] < x   { k := k + 8;   },if a[k+7] < x   { k := k+8;   },True
MFES_2021_tmp_tmpuljn8zd9_FCUL_Exercises_8_sum_7,"['11', ' 16', ' 17']","[9, 10, 11, 16, 17]",nat,17.0,True,60.0,5,Others,True,0,17,s := s + i;,s := s + i;,True
Workshop_tmp_tmp0cu11bdq_Lecture_Answers_sum_array_7,"['13', ' 14', ' 15', ' 19', ' 20']","[13, 14, 15, 19, 20]",int,20.0,True,100.0,5,100%,True,0,20,i := i + 1;,i := i + 1;,True
Metodos_Formais_tmp_tmpbez22nnn_Aula_4_ex1_1,"['9', ' 10', ' 11', ' 16', ' 17']","[9, 10, 11, 16, 17]",int_int,16.0,True,100.0,5,100%,True,2,9,x := a - (a - b);,x := x - 1;,False
Workshop_tmp_tmp0cu11bdq_Lecture_Answers_sum_array_4,"['13', ' 14', ' 15', ' 19', ' 20']","[13, 14, 15, 19, 20]",int,20.0,True,100.0,5,100%,True,0,20,i := i + 1;,i := i + 1;,True
dafny_examples_tmp_tmp8qotd4ez_leetcode_0069-sqrt_8,"['25', ' 27', ' 28', ' 30']","[16, 17, 24, 25, 26, 27, 27, 28, 29, 30]",int,30.0,True,40.0,10,Others,True,0,30,r := mid - 1; //buggy line,r := mid - 1;,True
t1_MF_tmp_tmpi_sqie4j_exemplos_colecoes_arrays_ex4_4,"['13', ' 14', ' 15', ' 19', ' 20']","[13, 14, 15, 19, 20]",nat,20.0,True,100.0,5,100%,True,0,20,i := i + 1;,i := i + 1;,True
dafny-language-server_tmp_tmpkir0kenl_Test_vstte2012_Two-Way-Sort_0,"['41', ' 42', ' 43', ' 49', ' 50', ' 51', ' 52', ' 55', ' 56']","[41, 42, 43, 49, 50, 51, 51, 52, 53, 54, 55, 56]",void,42.0,True,75.0,12,Others,True,0,42,var j := a.Length - 1; //buggy line,var j := a.Length - 1;,True
Dafny_Verify_tmp_tmphq7j0row_Generated_Code_ComputePower_7,"['10', ' 13', ' 14']","[8, 9, 10, 13, 14]",nat,14.0,True,60.0,5,Others,True,0,14,p := p * 2;,p := p * 2;,True
Dafny-Exercises_tmp_tmpjm75muf__Session5Exercises_ExerciseSumElems_15,"['173', ' 178', ' 179']","[168, 169, 170, 171, 172, 173, 178, 179]",int,179.0,True,37.5,8,Others,True,0,179,i := i - 1;,i:=i-1;,True
Metodos_Formais_tmp_tmpql2hwcsh_Invariantes_potencia_0,"['17', ' 18', ' 19', ' 21', ' 24', ' 25']","[17, 18, 19, 21, 24, 25, 27]",nat,24.0,True,85.71428571428571,7,Others,True,0,24,r := r * b; //buggy line,r := r * b;,True
Prog-Fun-Solutions_tmp_tmp7_gmnz5f_mockExam2_p5_0,"['17', ' 26', ' 28', ' 30']","[14, 15, 16, 17, 26, 28, 30, 37]",int,26.0,True,50.0,8,Others,True,0,26,b := a * k + b;,b := a*k + b;,True
